89
1,2,-1
2,3,3
2,4,2
3,4,2
1,5,2
2,5,-1
4,5,3
1,6,-1
2,6,1
4,6,4
1,7,4
3,7,2
4,7,1
5,7,-1
1,8,2
2,8,1
5,8,-1
7,8,-1
2,9,1
4,9,3
6,9,-1
1,10,2
3,10,2
9,10,2
1,11,-1
6,11,2
7,11,2
10,11,3
3,12,4
6,12,2
8,12,4
10,12,1
11,12,4
3,13,2
7,13,4
8,13,4
10,13,3
3,14,3
7,14,3
10,14,3
11,14,1
12,14,4
2,15,1
3,15,4
4,15,1
5,15,-1
9,15,4
13,15,-1
1,16,3
2,16,3
3,16,2
4,16,3
7,16,4
8,16,4
9,16,4
10,16,1
11,16,1
13,16,1
14,16,2
1,17,2
2,17,3
4,17,2
7,17,3
10,17,-1
11,17,-1
15,17,4
16,17,1
1,18,2
3,18,2
6,18,-1
11,18,4
12,18,1
16,18,4
17,18,1
3,19,-1
4,19,1
8,19,4
9,19,-1
10,19,2
14,19,1
16,19,4
2,20,2
3,20,-1
6,20,1
7,20,4
8,20,2
11,20,1
12,20,1
19,20,2
1,20
3
