201
1,2,1
1,3,2
3,7,2
4,7,2
5,7,2
1,8,2
5,8,1
1,9,2
4,9,3
5,9,2
1,11,3
3,11,2
7,11,2
1,12,1
2,12,2
6,12,2
3,13,2
8,13,1
9,13,1
11,13,1
1,14,1
2,14,1
5,14,2
6,14,1
13,14,2
4,15,2
5,15,1
9,16,1
15,16,2
4,17,1
13,17,2
5,18,3
7,18,2
11,18,2
15,18,1
4,19,3
6,19,3
16,19,2
4,20,1
6,20,2
7,20,3
9,20,3
11,20,1
1,21,3
5,21,1
6,21,3
14,21,2
20,21,3
2,22,1
4,22,2
9,22,1
11,22,2
15,22,3
20,22,2
1,23,3
5,23,3
8,23,2
11,23,1
13,23,3
15,23,1
17,23,3
22,23,2
1,24,2
2,24,2
3,24,3
4,24,2
7,24,2
11,24,1
15,24,2
17,24,3
18,24,3
19,24,2
23,24,3
5,25,3
7,25,1
11,25,1
15,25,2
24,25,1
1,26,2
4,26,1
5,26,1
7,26,3
10,26,1
4,27,3
7,27,3
11,27,3
19,27,2
23,27,1
12,28,2
13,28,2
18,28,2
22,28,2
2,29,2
4,29,2
9,29,3
14,29,1
20,29,3
22,29,2
24,29,2
27,29,2
5,30,2
13,30,1
14,30,3
16,30,1
17,30,3
22,30,2
23,30,2
5,31,2
12,31,1
14,31,1
19,31,1
20,31,3
22,31,2
25,31,2
26,31,2
27,31,3
28,31,3
2,32,1
5,32,2
7,32,2
10,32,1
18,32,2
23,32,2
25,32,1
31,32,2
2,33,2
12,33,1
14,33,1
27,33,2
28,33,3
29,33,2
30,33,3
31,33,3
1,34,2
12,34,1
13,34,1
17,34,3
21,34,2
4,35,3
20,35,2
21,35,2
22,35,3
26,35,2
28,35,3
30,35,2
6,36,2
7,36,1
10,36,1
11,36,3
13,36,1
14,36,2
15,36,3
16,36,2
18,36,1
23,36,1
26,36,3
28,36,3
2,37,1
3,37,1
6,37,3
10,37,2
14,37,1
18,37,2
19,37,3
20,37,3
21,37,2
26,37,3
29,37,1
30,37,2
31,37,2
35,37,1
36,37,2
2,38,2
4,38,3
6,38,3
10,38,3
12,38,2
14,38,2
16,38,2
19,38,3
26,38,3
27,38,3
36,38,1
1,39,-1
5,39,2
7,39,2
10,39,3
12,39,3
14,39,1
16,39,3
18,39,3
21,39,1
27,39,3
35,39,2
8,40,1
10,40,1
14,40,2
23,40,3
26,40,2
33,40,1
39,40,1
1,40
3
