101
4,9,2
6,9,-1
7,9,1
6,10,1
1,11,-1
6,11,1
1,13,3
10,14,-1
1,15,1
2,15,1
4,15,-1
3,16,-1
5,18,2
11,18,-1
17,18,2
1,19,-1
16,19,3
15,20,2
16,20,2
5,21,-1
6,21,-1
13,21,3
15,21,-1
6,22,-1
10,22,1
6,23,1
17,23,3
1,24,-1
4,24,-1
8,24,-1
15,24,-1
21,24,1
3,25,-1
6,25,3
12,25,-1
13,25,2
15,25,1
17,26,3
7,27,1
12,27,3
13,27,2
22,27,-1
1,28,-1
5,28,-1
14,28,-1
21,28,1
25,28,3
1,29,-1
15,29,2
22,29,1
11,30,3
14,30,2
21,30,-1
23,30,-1
9,31,3
19,31,3
25,31,-1
7,32,3
8,32,-1
24,32,-1
1,33,-1
5,33,2
8,33,-1
13,33,-1
19,33,-1
23,33,3
28,33,-1
29,33,-1
1,34,3
13,34,3
14,34,-1
17,34,-1
19,34,-1
33,34,3
14,35,-1
21,35,-1
23,35,2
28,35,-1
29,35,2
31,35,3
1,36,-1
8,36,2
25,36,-1
27,36,1
30,36,-1
31,36,1
10,37,2
29,37,-1
30,37,-1
2,38,2
5,38,2
8,38,2
21,38,1
22,38,-1
23,38,2
29,38,-1
7,39,-1
1,40,1
4,40,-1
27,40,2
34,40,-1
4,40
3
