12611
1,1,20,15
2,28,42,48
3,54,61,38
4,54,73,14
5,36,110,42
6,15,134,17
7,139,143,15
8,146,147,21
9,94,150,47
10,22,152,25
11,61,159,11
12,125,160,50
13,13,161,46
14,116,164,11
15,73,169,40
16,94,176,23
17,67,180,36
18,58,183,15
19,16,184,42
20,179,184,49
21,23,186,11
22,37,187,28
23,45,196,18
24,115,201,15
25,207,210,33
26,66,218,33
27,197,219,21
28,197,223,32
29,103,229,37
30,12,233,28
31,33,233,19
32,43,237,22
33,153,242,14
34,222,248,36
35,168,255,30
36,232,257,18
37,78,259,49
38,118,259,44
39,123,260,18
40,146,261,33
41,179,262,38
42,238,264,18
43,203,265,33
44,233,269,16
45,208,275,44
46,25,278,32
47,201,278,25
48,77,283,24
49,248,286,34
50,201,292,40
51,83,299,27
52,33,308,31
53,76,314,29
54,187,315,16
55,192,316,30
56,135,317,49
57,209,319,22
58,254,319,21
59,93,325,17
60,269,325,17
61,75,327,26
62,313,333,18
63,247,334,45
64,44,337,30
65,124,339,37
66,274,339,45
67,101,343,39
68,51,348,29
69,130,349,41
70,223,351,10
71,94,357,22
72,122,358,26
73,164,358,35
74,351,362,37
75,273,368,35
76,307,371,36
77,41,373,43
78,184,373,46
79,174,379,32
80,45,381,46
81,304,389,37
82,272,390,34
83,67,394,47
84,391,395,37
85,357,398,45
86,150,399,30
87,184,399,12
88,7,407,37
89,172,408,13
90,285,411,50
91,132,416,16
92,244,422,50
93,277,427,26
94,224,428,23
95,408,429,39
96,151,430,17
97,181,431,27
98,410,431,21
99,412,432,37
100,247,437,35
101,316,437,18
102,160,441,12
103,218,443,27
104,147,446,32
105,243,446,25
106,261,447,48
107,196,449,34
108,51,450,26
109,280,450,38
110,160,451,14
111,313,452,13
112,148,454,44
113,255,457,31
114,292,459,48
115,187,460,41
116,175,462,19
117,295,462,17
118,115,464,11
119,201,464,27
120,374,466,34
121,168,467,27
122,162,470,40
123,111,472,42
124,15,473,47
125,278,476,29
126,190,478,14
127,308,482,33
128,419,497,40
129,488,497,40
130,411,500,10
131,493,503,32
132,109,504,43
133,298,505,36
134,112,506,50
135,63,509,21
136,176,509,44
137,136,510,45
138,318,510,12
139,127,511,20
140,4,515,14
141,5,516,19
142,366,517,25
143,440,519,28
144,92,522,14
145,386,522,49
146,1,526,44
147,516,526,17
148,446,527,10
149,220,528,14
150,435,531,47
151,506,537,43
152,161,540,45
153,175,544,16
154,164,545,39
155,349,547,16
156,442,549,25
157,540,550,35
158,209,552,34
159,442,552,27
160,282,554,38
161,41,555,39
162,285,557,20
163,342,560,38
164,519,560,32
165,416,561,38
166,422,561,11
167,290,563,24
168,138,564,25
169,403,566,43
170,276,569,13
171,421,573,33
172,60,574,33
173,415,576,27
174,379,578,20
175,328,582,14
176,520,582,30
177,131,585,46
178,153,589,50
179,548,589,18
180,234,591,23
181,144,593,43
182,560,593,15
